iter	RMSE
166	0.6757892805
167	0.6751844219
168	0.6742843602
169	0.6734533852
170	0.6724185856
171	0.6716015922
172	0.6710862549
173	0.6707374939
174	0.6702333791
175	0.6694380395
176	0.6680697345
177	0.6676698555
178	0.6663596707
179	0.665956493
180	0.6652069008
181	0.6644708041
182	0.6640863467
183	0.6629961507
184	0.6624621708
185	0.6615496782
186	0.6608942955
187	0.6604866858
188	0.6598610792
189	0.6593379468
190	0.6586356095
191	0.6581953144
192	0.6576970183
193	0.6566135662
194	0.6557181603
195	0.6550435737
196	0.6539224054
197	0.6528506147
198	0.6523226952
199	0.6518956574
200	0.6509525837
201	0.6501382728
202	0.6498173198
203	0.6490515843
204	0.6479640368
205	0.6475436519
206	0.6469339947
207	0.6462661413
208	0.6449389161
209	0.6440950578
210	0.6436911184
211	0.6429812316
212	0.6424568925
213	0.6409611582
214	0.6400397285
215	0.6395974891
216	0.6391413116
217	0.6386334122
218	0.6367412356
219	0.6357237493
220	0.6350622952
221	0.6342407172
222	0.6337296295
223	0.6334113711
224	0.632500124
225	0.6310161276
226	0.6299094924
227	0.6290666458
228	0.6282769721
229	0.6274459577
230	0.6263959075
231	0.6254557959
232	0.6246001859
233	0.6242882892
234	0.6238293005
235	0.6229238862
236	0.6214557321
237	0.6208880282
238	0.6200757559
239	0.6192229802
240	0.618523267
241	0.6175644701
242	0.6168853585
243	0.616317231
244	0.6156831283
245	0.6151074732
246	0.6141893637
247	0.613606667
248	0.6129716031
249	0.6124175257
250	0.6116872815
251	0.6112099229
252	0.610638536
253	0.6101899168
254	0.6096414466
255	0.6093434553
256	0.608548997
257	0.6078126284
258	0.607136401
259	0.6067175135
260	0.6060791091
261	0.6057825304
262	0.6050514704
263	0.6045384907
264	0.603845526
265	0.6033073761
266	0.6030399234
267	0.6023283207
268	0.6017803281
269	0.601141223
270	0.6006650348
271	0.6003892058
272	0.5998813137
273	0.5992354688
274	0.5984380403
275	0.5980636459
276	0.5974758729
277	0.5970277722
278	0.596740891
279	0.5962077473
280	0.5957415329
281	0.5952536692
282	0.5942881266
283	0.5939042079
284	0.5935037186
285	0.5924210626
286	0.5914053329
287	0.5909991052
288	0.5905145611
289	0.5902070611
290	0.5897599001
291	0.5888663924
292	0.5880229583
293	0.587089294
294	0.5866804937
295	0.5859399889
296	0.5852952432
297	0.5848757755
298	0.5840147998
299	0.5832796344
300	0.5828058387
301	0.5825240507
302	0.5822365205
303	0.5818961721
304	0.5814293731
305	0.5804195179
306	0.5798899106
307	0.5792654184
308	0.578361099
309	0.5774866209
310	0.5770372696
311	0.5767317798
312	0.5759023393
313	0.5756198014
314	0.5751460649
315	0.574518213
316	0.5737934818
317	0.5733980953
318	0.572680785
319	0.5720421916
320	0.5715138426
321	0.5711232528
322	0.5706207184
323	0.5700312311
324	0.56975243
325	0.5691817584
326	0.5687126417
327	0.5680552111
328	0.5675718448
329	0.5670926075
330	0.5664840751
331	0.5662070058
332	0.5659570788
333	0.5653054427
334	0.565083734
335	0.564567313
336	0.5637490973
337	0.5629063818
338	0.5622926395
339	0.5615016242
340	0.5610754303
341	0.5608044872
342	0.5604703999
343	0.5600960991
344	0.5596491375
345	0.5590325978
346	0.5586138551
347	0.5578041091
348	0.5572747608
349	0.5564514723
350	0.5558676944
351	0.5554572042
352	0.5550855345
353	0.5547406707
354	0.5544558201
355	0.5543130244
356	0.5540406168
357	0.5535894976
358	0.5531969253
359	0.5526185987
360	0.5521135167
361	0.5516271534
362	0.5512290631
363	0.550528731
364	0.5500729164
365	0.5498863951
366	0.5493849182
367	0.5490228051
368	0.5486869663
369	0.5484280141
370	0.5480536775
371	0.5472145106
372	0.5466184946
373	0.5460388895
374	0.5456835031
375	0.5450682613
376	0.5446673755
377	0.5442368201
378	0.5437640828
379	0.5435666853
380	0.5432815126
381	0.5427966833
382	0.5422872974
383	0.5420491921
384	0.5415520971
385	0.541200629
386	0.5403400082
387	0.5399863624
388	0.5397192063
389	0.5393087477
390	0.5389899412
391	0.5386180691
392	0.538080112
393	0.5377925917
394	0.5374088631
395	0.5370212148
396	0.5365766735
397	0.536296058
398	0.5358227266
399	0.5353715936
400	0.5350319635
401	0.5347396511
402	0.5342830785
403	0.5341115579
404	0.5333916498
405	0.5330187136
406	0.5327080745
407	0.5322214935
408	0.5318092948
409	0.5316034564
410	0.5311762616
411	0.5310409558
412	0.5301003791
413	0.5293456683
414	0.5290224889
415	0.5286430513
416	0.5283740975
417	0.5275948275
418	0.5266825071
419	0.5264096185
420	0.5262346429
421	0.5260475075
422	0.5256280554
423	0.525167485
424	0.5249216769
425	0.524699524
426	0.5243399809
427	0.5234380611
428	0.523041735
429	0.5223972467
430	0.5217104138
431	0.5209771667
432	0.520637297
433	0.5202954212
434	0.5200136719
435	0.5198693888
436	0.5194840931
437	0.5188565299
438	0.5185248783
439	0.5179473404
440	0.5176637349
441	0.5172997522
442	0.5167493397
443	0.5166176162
444	0.5160176431
445	0.5156159704
446	0.5152999028
447	0.5145765754
448	0.5139889422
449	0.5136281119
450	0.5132525097
451	0.5126941463
452	0.5123741273
453	0.5121479217
454	0.5118545252
455	0.5116348545
456	0.5111869562
457	0.5110515133
458	0.5109223581
459	0.5105390026
460	0.5102187109
461	0.5095286738
462	0.5091717431
463	0.5089929459
464	0.5083493246
465	0.5078210279
466	0.507512178
467	0.507233533
468	0.5066714062
469	0.5065823971
470	0.5063148391
471	0.5058405339
472	0.5055783338
473	0.5052338877
474	0.5049587912
475	0.5045754102
476	0.5040583189
477	0.5035700224
478	0.5031698188
479	0.5025660092
480	0.5022435749
481	0.5017227094
482	0.5014804905
483	0.501183484
484	0.5006873208
485	0.5003779439
486	0.5000356269
487	0.4997123883
488	0.4993774548
489	0.4990905928
490	0.4988710205
491	0.498585063
492	0.4983116876
493	0.4981450947
494	0.4976252999
495	0.4971785664
496	0.4969695942
497	0.4967624676
498	0.4963612421
499	0.496109763
