composition OQMD_Id A_atom B_atom OQMD_unrelaxed_lattice_parameter OQMD_relaxed_lattice_parameter
EuReO3 352264 Re Eu 4.96669800 4.21545000
EuReO3 353844 Eu Re 4.96669800 3.92152600
EuRhO3 350650 Eu Rh 4.95396100 3.90553200
EuRhO3 353574 Rh Eu 4.95396100 4.31481800
EuRuO3 352563 Ru Eu 4.95121700 4.27706200
EuRuO3 352667 Eu Ru 4.95121700 3.89816400
EuSbO3 350413 Sb Eu 5.16825900 4.28769100
EuSbO3 355067 Eu Sb 5.16825900 4.13224400
EuScO3 352095 Eu Sc 5.10166400 4.03668100
EuScO3 354699 Sc Eu 5.10166400 4.23316300
EuSiO3 350094 Eu Si 5.03740700 3.59301900
EuSiO3 350189 Si Eu 5.03740700 4.19670900
EuSnO3 351767 Eu Sn 5.12810600 4.02246400
EuSnO3 353780 Sn Eu 5.12810600 4.24740900
EuTaO3 350900 Ta Eu 5.01130600 4.23388100
EuTaO3 352204 Eu Ta 5.01130600 3.99205800
EuTbO3 352923 Tb Eu 5.19092300 4.25449500
EuTbO3 353822 Eu Tb 5.19092300 4.29539500
EuTcO3 352883 Tc Eu 4.95913100 4.20454100
EuTcO3 353087 Eu Tc 4.95913100 3.89707100
EuTeO3 352920 Eu Te 5.21468000 4.20160200
EuTeO3 354171 Te Eu 5.21468000 4.30029100
EuThO3 350901 Eu Th 5.20087700 4.54752200
EuThO3 352807 Th Eu 5.20087700 4.32180500
EuTiO3 354349 Ti Eu 5.00420700 4.20246400
EuTiO3 354680 Eu Ti 5.00420700 3.86629500
EuTlO3 350426 Tl Eu 5.14816100 4.48118900
EuTlO3 351130 Eu Tl 5.14816100 4.17618200
EuTmO3 351066 Tm Eu 5.16639600 4.24186400
EuTmO3 351724 Eu Tm 5.16639600 4.21181900
EuUO3 351428 U Eu 5.04839400 4.27622800
EuUO3 354465 Eu U 5.04839400 4.39929700
EuVO3 351519 Eu V 4.95498000 3.80265800
EuVO3 352761 V Eu 4.95498000 4.20468200
EuWO3 350330 Eu W 4.98216200 3.94221400
EuWO3 351848 W Eu 4.98216200 4.25078200
EuYO3 352050 Eu Y 5.20282900 4.28330500
EuYO3 352094 Y Eu 5.20282900 4.25649600
EuZnO3 353342 Eu Zn 4.97355200 3.83261700
EuZnO3 355277 Zn Eu 4.97355200 4.16931700
EuZrO3 353769 Zr Eu 5.07990900 4.24428900
EuZrO3 354003 Eu Zr 5.07990900 4.12170800
Fe2O3 353416 Fe Fe 4.36638500 3.72509500
FeAgO3 350519 Ag Fe 4.45678900 3.78901200
FeAgO3 354925 Fe Ag 4.45678900 3.96231900
FeAsO3 352738 Fe As 4.53074300 3.75839900
FeAsO3 354052 As Fe 4.53074300 3.79774300
FeAuO3 352188 Au Fe 4.45519800 3.80862100
FeAuO3 353995 Fe Au 4.45519800 3.99953000
FeBiO3 350945 Fe Bi 4.74519000 4.18984400
FeBiO3 354025 Bi Fe 4.74519000 3.90616400
FeBO3 351557 B Fe 4.29342100 3.68542500
FeBO3 355261 Fe B 4.29342100 3.32192000
FeCoO3 351300 Co Fe 4.35355600 3.71676800
FeCoO3 352019 Fe Co 4.35355600 3.59500800
FeCuO3 352475 Fe Cu 4.36638100 4.36651600
FeCuO3 355045 Cu Fe 4.36638100 3.71705800
FeGeO3 353379 Fe Ge 4.54887200 3.69128000
FeGeO3 354773 Ge Fe 4.54887200 3.77429400
FeHgO3 351128 Fe Hg 4.58008400 4.60341200
FeHgO3 354747 Hg Fe 4.58008400 3.82262800
FeIrO3 350838 Fe Ir 4.40744100 3.87020500
FeIrO3 353532 Ir Fe 4.40744100 3.79472600
FeMoO3 352515 Mo Fe 4.43206100 3.79190200
FeMoO3 354425 Fe Mo 4.43206100 3.88683400
FeNiO3 350452 Ni Fe 4.35163700 3.75779600
FeNiO3 353095 Fe Ni 4.35163700 3.62305800
FeOsO3 350428 Os Fe 4.40439900 3.81669000
FeOsO3 353722 Fe Os 4.40439900 3.85400600
FePbO3 350803 Fe Pb 4.66925400 4.17185800
FePbO3 351418 Pb Fe 4.66925400 3.88654400
FePdO3 350566 Fe Pd 4.41691500 3.88654200
FePdO3 352858 Pd Fe 4.41691500 3.76792200
FePtO3 354241 Pt Fe 4.42362700 3.80223400
FePtO3 354724 Fe Pt 4.42362700 3.92301600
FeReO3 353201 Fe Re 4.41705600 3.92278600
FeReO3 354627 Re Fe 4.41705600 3.80869700
FeRhO3 353338 Fe Rh 4.40093500 3.85862600
FeRhO3 354901 Rh Fe 4.40093500 3.77645900
FeRuO3 350127 Ru Fe 4.39745800 3.79007700
FeSbO3 350762 Fe Sb 4.66787100 3.97677000
FeSbO3 350966 Sb Fe 4.66787100 3.86586800
FeSiO3 351570 Si Fe 4.50593600 3.75056900
FeSiO3 352700 Fe Si 4.50593600 3.51203700
FeSnO3 350556 Sn Fe 4.61851000 3.85397800
FeSnO3 353647 Fe Sn 4.61851000 3.99217400
FeTcO3 350390 Fe Tc 4.40748300 3.85431500
FeTcO3 351320 Tc Fe 4.40748300 3.80704500
FeTeO3 351336 Fe Te 4.72459900 4.07618600
FeTeO3 353903 Te Fe 4.72459900 3.88797700
FeWO3 350751 W Fe 4.43658300 3.80774900
FeWO3 353439 Fe W 4.43658300 3.88957700
Ga2O3 351879 Ga Ga 4.62431200 3.78655400
GaAgO3 350315 Ag Ga 4.58434400 3.84885000
GaAgO3 351376 Ga Ag 4.58434400 3.98441300
GaAsO3 351586 Ga As 4.65433200 3.79252000
GaAsO3 354856 As Ga 4.65433200 3.78223500
GaAuO3 351532 Au Ga 4.58284000 3.84333900
GaAuO3 353377 Ga Au 4.58284000 4.03346100
GaBiO3 352457 Bi Ga 4.85824700 3.86932200
GaBiO3 352712 Ga Bi 4.85824700 4.20210000
GaBO3 353328 B Ga 4.43042100 3.78057200
GaBO3 355267 Ga B 4.43042100 3.33444700
GaCoO3 350919 Ga Co 4.48696500 4.48744300
GaCoO3 352120 Co Ga 4.48696500 3.77855300
GaCuO3 350365 Ga Cu 4.49904100 3.67965700
GaCuO3 353487 Cu Ga 4.49904100 3.79729800
GaFeO3 351789 Ga Fe 4.49904500 3.75296000
GaFeO3 352957 Fe Ga 4.49904500 3.73477500
GaGeO3 350091 Ga Ge 4.67151700 3.72248700
GaGeO3 350398 Ge Ga 4.67151700 3.83764200
GaHgO3 350451 Hg Ga 4.70112600 3.87615900
GaHgO3 352600 Ga Hg 4.70112600 4.13547300
GaIrO3 350131 Ir Ga 4.53774600 3.76272000
GaIrO3 352048 Ga Ir 4.53774600 3.91244800
GaMoO3 353518 Ga Mo 4.56098400 3.93368400
GaMoO3 355170 Mo Ga 4.56098400 3.76802800
GaNiO3 350896 Ni Ga 4.48515800 3.78346500
GaNiO3 353303 Ga Ni 4.48515800 3.65124200
GaOsO3 350613 Ga Os 4.53487600 3.89595000
GaOsO3 351343 Os Ga 4.53487600 3.80845000
GaPbO3 350944 Ga Pb 4.78588500 4.20202400
GaPbO3 353370 Pb Ga 4.78588500 3.91397800
GaPdO3 351365 Pd Ga 4.54668600 3.79954000
GaPdO3 354372 Ga Pd 4.54668600 3.91615000
GaPtO3 352853 Ga Pt 4.55302100 3.95300200
GaPtO3 353807 Pt Ga 4.55302100 3.81200500
GaReO3 351509 Re Ga 4.54681900 3.78696900
GaReO3 352745 Ga Re 4.54681900 3.90878600
GaRhO3 350368 Rh Ga 4.53160900 3.80665000
GaRhO3 354154 Ga Rh 4.53160900 3.89138000
GaRuO3 351080 Ga Ru 4.52833000 3.88158600
GaRuO3 351942 Ru Ga 4.52833000 3.80483800
GaSbO3 351132 Ga Sb 4.78456900 3.99331100
GaSbO3 351486 Sb Ga 4.78456900 3.83891900
GaSiO3 350672 Ga Si 4.63083500 3.54649200
GaSiO3 354067 Si Ga 4.63083500 3.79574000
GaSnO3 353052 Sn Ga 4.73762200 3.83515900
GaSnO3 353147 Ga Sn 4.73762200 4.01849400
GaTcO3 353983 Ga Tc 4.53778600 3.89388500
GaTcO3 354121 Tc Ga 4.53778600 3.78981000
GaTeO3 352884 Te Ga 4.83860900 3.85368900
GaTeO3 354017 Ga Te 4.83860900 4.08232900
GaWO3 351328 W Ga 4.56525400 3.77110700
GaWO3 351803 Ga W 4.56525400 3.93882900
Gd2O3 352983 Gd Gd 5.01099800 4.31917700
GdAgO3 351060 Ag Gd 4.78873400 4.37253500
GdAgO3 353744 Gd Ag 4.78873400 4.02312000
GdAlO3 351194 Gd Al 4.78217100 3.69798900
GdAlO3 354784 Al Gd 4.78217100 4.31316400
GdAsO3 355031 Gd As 4.85299400 4.00041800
GdAsO3 355240 As Gd 4.85299400 4.33183500
GdAuO3 350531 Au Gd 4.78735600 4.36748500
GdAuO3 353829 Gd Au 4.78735600 4.09781900
GdBeO3 352749 Be Gd 4.65470200 4.29773300
GdBeO3 354499 Gd Be 4.65470200 3.56087600
GdBiO3 353084 Gd Bi 5.04147800 4.36498700
GdBiO3 353336 Bi Gd 5.04147800 4.36561700
GdBO3 352090 B Gd 4.64827400 4.36421000
GdBO3 352558 Gd B 4.64827400 3.47665900
GdCdO3 351865 Cd Gd 4.85215900 4.33177100
GdCdO3 354118 Gd Cd 4.85215900 4.09434300
GdCoO3 350509 Gd Co 4.69972800 3.70179600
GdCoO3 353879 Co Gd 4.69972800 4.30767300
GdCrO3 350617 Gd Cr 4.71522400 3.83101800
GdCrO3 351890 Cr Gd 4.71522400 4.34060300
GdCuO3 351898 Gd Cu 4.71074000 3.74517000
GdCuO3 352821 Cu Gd 4.71074000 4.34870800
GdDyO3 350907 Gd Dy 4.99082400 4.26585500
GdDyO3 355103 Dy Gd 4.99082400 4.31202200
GdErO3 351433 Gd Er 4.97842400 4.21858100
GdErO3 353410 Er Gd 4.97842400 4.30927200
GdFeO3 352417 Gd Fe 4.71074300 3.84980200
GdFeO3 353650 Fe Gd 4.71074300 4.29116000
GdGaO3 352955 Gd Ga 4.82540200 3.81564400
GdGaO3 354776 Ga Gd 4.82540200 4.38592800
GdGeO3 350674 Gd Ge 4.86880700 3.88068400
GdGeO3 353127 Ge Gd 4.86880700 4.30755500
GdHfO3 350866 Gd Hf 4.86328700 4.07225900
GdHfO3 354815 Hf Gd 4.86328700 4.28945900
GdHgO3 353470 Hg Gd 4.89608500 4.37295500
GdHgO3 354446 Gd Hg 4.89608500 4.19129400
GdHoO3 351450 Ho Gd 4.98519400 4.31194300
GdHoO3 353789 Gd Ho 4.98519400 4.24292000
GdInO3 352671 Gd In 4.91643700 4.04965200
GdInO3 353182 In Gd 4.91643700 4.35252100
GdIrO3 352079 Gd Ir 4.74608300 3.95770300
GdIrO3 353067 Ir Gd 4.74608300 4.32427200
GdLuO3 352794 Lu Gd 4.96346900 4.30523100
GdLuO3 355088 Gd Lu 4.96346900 4.15485400
GdMgO3 350771 Gd Mg 4.87668400 3.81960900
GdMgO3 354410 Mg Gd 4.87668400 4.30688900
GdMnO3 351007 Mn Gd 4.71800900 4.30612900
GdMnO3 352997 Gd Mn 4.71800900 3.84214600
GdMoO3 351448 Mo Gd 4.76733900 4.31997800
GdMoO3 355293 Gd Mo 4.76733900 3.95794200
GdNbO3 352456 Nb Gd 4.80241800 4.30369700
GdNbO3 355101 Gd Nb 4.80241800 4.02778700
GdNiO3 351178 Gd Ni 4.69808100 3.72698300
GdNpO3 351949 Np Gd 4.82030600 4.33786300
GdNpO3 354997 Gd Np 4.82030600 4.42308600
GdOsO3 352390 Gd Os 4.74346000 3.94105700
GdOsO3 354470 Os Gd 4.74346000 4.32166900
GdPaO3 350647 Pa Gd 4.90092700 4.32840600
GdPaO3 354823 Gd Pa 4.90092700 4.46302400
GdPbO3 350610 Gd Pb 4.97438700 4.26421800
GdPbO3 353224 Pb Gd 4.97438700 4.37563800
GdPdO3 350483 Pd Gd 4.75425700 4.36895600
GdPdO3 352989 Gd Pd 4.75425700 3.95869800
GdPtO3 350987 Gd Pt 4.76005200 4.01543600
GdPtO3 352326 Pt Gd 4.76005200 4.35296300
GdPuO3 350098 Gd Pu 4.83713500 4.36487200
GdPuO3 351822 Pu Gd 4.83713500 4.37191500
GdReO3 351933 Gd Re 4.75437900 3.94959800
GdReO3 352013 Re Gd 4.75437900 4.31794900
GdRhO3 352686 Rh Gd 4.74047400 4.33428600
GdRhO3 354078 Gd Rh 4.74047400 3.92069300
GdRuO3 349990 Ru Gd 4.73747700 4.31795400
GdRuO3 351863 Gd Ru 4.73747700 3.91832200
GdSbO3 350052 Sb Gd 4.97316900 4.35243200
GdSbO3 352785 Gd Sb 4.97316900 4.21151800
GdScO3 350040 Sc Gd 4.90113100 4.30587200
GdScO3 354807 Gd Sc 4.90113100 3.99198000
GdSiO3 351610 Si Gd 4.83139400 4.30598200
GdSiO3 353073 Gd Si 4.83139400 3.70173500
GdSnO3 351998 Sn Gd 4.92976200 4.35418600
GdSnO3 354160 Gd Sn 4.92976200 4.10877300
GdTaO3 352330 Gd Ta 4.80300000 4.00619300
GdTaO3 354275 Ta Gd 4.80300000 4.29058000
GdTbO3 352917 Tb Gd 4.99763300 4.31519100
GdTbO3 353170 Gd Tb 4.99763300 4.29175700
GdTcO3 351395 Gd Tc 4.74611900 3.93817800
GdTcO3 354008 Tc Gd 4.74611900 4.31982600
GdTeO3 350427 Gd Te 5.02324900 4.23598400
GdTeO3 351241 Te Gd 5.02324900 4.37476300
GdThO3 349979 Gd Th 5.00837000 4.55206000
GdThO3 351303 Th Gd 5.00837000 4.33628700
GdTiO3 351830 Gd Ti 4.79527000 3.88112200
GdTiO3 353114 Ti Gd 4.79527000 4.29961100
GdTlO3 351280 Tl Gd 4.95145300 4.40586200
GdTlO3 352299 Gd Tl 4.95145300 4.23659300
GdTmO3 350202 Gd Tm 4.97115700 4.19461600
GdTmO3 354813 Tm Gd 4.97115700 4.30575100
GdUO3 354173 U Gd 4.84333500 4.33651100
GdUO3 354649 Gd U 4.84333500 4.38917700
GdVO3 352642 Gd V 4.74158700 3.85957300
GdVO3 353339 V Gd 4.74158700 4.30487200
GdWO3 353726 W Gd 4.77124800 4.30818100
GdWO3 354149 Gd W 4.77124800 3.96321100
GdYO3 351129 Y Gd 5.01047400 4.31700900
GdYO3 354471 Gd Y 5.01047400 4.26581800
GdZnO3 350532 Gd Zn 4.76185800 3.81991000
GdZnO3 354678 Zn Gd 4.76185800 4.32437000
GdZrO3 351954 Gd Zr 4.87754600 4.12451200
GdZrO3 355060 Zr Gd 4.87754600 4.29828200
Ge2O3 352521 Ge Ge 4.71778700 3.74700800
GeAsO3 350548 Ge As 4.70093900 3.86856200
GeAsO3 354365 As Ge 4.70093900 3.75653400
GeAuO3 351411 Au Ge 4.63089000 3.77440200
GeAuO3 353090 Ge Au 4.63089000 4.03826800
GeBiO3 351169 Ge Bi 4.90107500 4.26222500
GeBiO3 351260 Bi Ge 4.90107500 3.91829600
GeBO3 354463 B Ge 4.48177700 3.68184000
GeBO3 355081 Ge B 4.48177700 3.37372300
GeIrO3 350816 Ir Ge 4.58674100 3.74965300
GeIrO3 351484 Ge Ir 4.58674100 3.91816200
GeMoO3 353393 Ge Mo 4.60948800 3.93590500
GeMoO3 354625 Mo Ge 4.60948800 3.77609500
GeOsO3 350798 Os Ge 4.58393200 3.76554800
GeOsO3 354572 Ge Os 4.58393200 3.90950200
GePbO3 353545 Pb Ge 4.83000000 3.86221400
GePbO3 354353 Ge Pb 4.83000000 4.23131700
GePdO3 352331 Pd Ge 4.59549100 3.72980800
GePdO3 354375 Ge Pd 4.59549100 3.92511700
GePtO3 350864 Pt Ge 4.60169200 3.74873300
GePtO3 351621 Ge Pt 4.60169200 3.96235400
GeRhO3 351836 Rh Ge 4.58073400 3.72957300
GeRhO3 354170 Ge Rh 4.58073400 3.89953100
GeRuO3 351081 Ru Ge 4.57752500 3.74517200
GeRuO3 351715 Ge Ru 4.57752500 3.89944900
GeSbO3 352440 Sb Ge 4.82870800 3.87033300
GeSbO3 353133 Ge Sb 4.82870800 4.06842300
GeTeO3 352065 Ge Te 4.88178100 4.16633300
GeTeO3 353072 Te Ge 4.88178100 3.87168800
GeWO3 353389 W Ge 4.61366900 3.78658500
GeWO3 354168 Ge W 4.61366900 3.94118400
Hf2O3 352758 Hf Hf 4.70601200 4.05641200
HfAgO3 352763 Ag Hf 4.62626400 4.09199100
HfAgO3 352859 Hf Ag 4.62626400 3.99247800
HfAlO3 352140 Al Hf 4.61923100 4.05596500
HfAlO3 354324 Hf Al 4.61923100 3.62654900
HfAsO3 351813 As Hf 4.69501700 4.06777100
HfAsO3 353394 Hf As 4.69501700 3.94099200
HfAuO3 351806 Au Hf 4.62478700 4.09095200
HfAuO3 354790 Hf Au 4.62478700 4.06440600
HfBeO3 353628 Hf Be 4.48219400 3.41127600
HfBeO3 355098 Be Hf 4.48219400 4.02442100
HfBiO3 350696 Hf Bi 4.89562800 4.31241200
HfBiO3 353280 Bi Hf 4.89562800 4.13148100
HfBO3 352221 Hf B 4.47526000 3.39874300
HfBO3 353452 B Hf 4.47526000 4.07949300
HfCdO3 350697 Hf Cd 4.69412500 4.07021300
HfCdO3 351969 Cd Hf 4.69412500 4.07087900
HfCoO3 350933 Co Hf 4.53069700 4.03954800
HfCoO3 354190 Hf Co 4.53069700 3.64366800
HfCrO3 352392 Hf Cr 4.54736400 3.76653500
HfCrO3 352497 Cr Hf 4.54736400 4.05727700
HfCuO3 354520 Cu Hf 4.54254300 4.06033400
HfCuO3 354664 Hf Cu 4.54254300 3.68054600
HfFeO3 350002 Hf Fe 4.54254700 3.77405700
HfFeO3 353922 Fe Hf 4.54254700 4.04264600
HfGaO3 354986 Ga Hf 4.66551900 4.07819000
HfGaO3 355003 Hf Ga 4.66551900 3.75479800
HfGeO3 351921 Ge Hf 4.71190700 4.06975300
HfGeO3 352544 Hf Ge 4.71190700 3.81756600
HfHgO3 354358 Hg Hf 4.74101500 4.09558700
HfHgO3 354715 Hf Hg 4.74101500 4.15983100
HfInO3 351622 In Hf 4.76271100 4.09905600
HfInO3 352875 Hf In 4.76271100 4.05986200
HfIrO3 351761 Ir Hf 4.58051900 4.05456400
HfIrO3 354862 Hf Ir 4.58051900 3.91794800
HfMgO3 353881 Mg Hf 4.72031600 4.04399800
HfMgO3 355056 Hf Mg 4.72031600 3.68214000
HfMnO3 353730 Mn Hf 4.55035800 4.04786100
HfMnO3 354351 Hf Mn 4.55035800 3.78894600
HfMoO3 351645 Mo Hf 4.60332800 4.06397900
HfMoO3 353249 Hf Mo 4.60332800 3.92379500
HfNbO3 351929 Hf Nb 4.64092100 4.00251600
HfNbO3 355223 Nb Hf 4.64092100 4.05776400
HfNiO3 351340 Hf Ni 4.52892500 3.66582700
HfNiO3 351725 Ni Hf 4.52892500 4.04286300
HfNpO3 350258 Np Hf 4.66006800 4.10518100
HfNpO3 350978 Hf Np 4.66006800 4.36961600
HfOsO3 350506 Os Hf 4.57770300 4.06188300
HfOsO3 354401 Hf Os 4.57770300 3.89671500
HfPaO3 350666 Pa Hf 4.74617900 4.09514600
HfPaO3 353707 Hf Pa 4.74617900 4.38494300
HfPbO3 350217 Hf Pb 4.82439100 4.23019300
HfPbO3 350493 Pb Hf 4.82439100 4.12720800
HfPdO3 354511 Pd Hf 4.58929300 4.06703300
HfPdO3 354730 Hf Pd 4.58929300 3.92503900
HfPtO3 350857 Pt Hf 4.59551100 4.06313800
HfPtO3 353788 Hf Pt 4.59551100 3.98747900
HfReO3 350396 Re Hf 4.58942400 4.07646900
HfReO3 353186 Hf Re 4.58942400 3.91007000
HfRhO3 351148 Hf Rh 4.57449600 3.88057600
HfRhO3 351548 Rh Hf 4.57449600 4.05529400
HfRuO3 350207 Hf Ru 4.57127800 3.86641400
HfRuO3 351633 Ru Hf 4.57127800 4.05805500
HfSbO3 351697 Hf Sb 4.82309600 4.14726400
HfSbO3 354705 Sb Hf 4.82309600 4.11037600
HfScO3 352518 Sc Hf 4.74639600 4.04911200
HfScO3 354637 Hf Sc 4.74639600 3.93921100
HfSiO3 351582 Hf Si 4.67192900 3.61643700
HfSiO3 355200 Si Hf 4.67192900 4.05837200
HfSnO3 350110 Hf Sn 4.77690700 4.05378900
HfSnO3 352067 Sn Hf 4.77690700 4.11236000
HfTaO3 350612 Ta Hf 4.64154400 4.05572400
HfTaO3 355191 Hf Ta 4.64154400 3.98408500
HfTcO3 353247 Hf Tc 4.58055800 3.88510600
HfTcO3 354322 Tc Hf 4.58055800 4.07229900
HfTeO3 354908 Te Hf 4.87629000 4.12153500
HfTeO3 354960 Hf Te 4.87629000 4.19798200
HfThO3 350587 Hf Th 4.86049600 4.53377000
HfThO3 351762 Th Hf 4.86049600 4.10668100
HfTiO3 351886 Ti Hf 4.63326500 4.04143500
HfTiO3 354538 Hf Ti 4.63326500 3.83057400
HfTlO3 351068 Hf Tl 4.79999800 4.20448000
HfTlO3 355147 Tl Hf 4.79999800 4.12243100
HfUO3 354413 U Hf 4.68469500 4.10872700
HfUO3 354968 Hf U 4.68469500 4.68512000
HfVO3 350539 V Hf 4.57569200 4.04632700
HfVO3 353325 Hf V 4.57569200 3.80438700
HfWO3 352951 W Hf 4.60752000 4.06307600
HfWO3 354585 Hf W 4.60752000 3.93665700
HfZnO3 352850 Zn Hf 4.59744900 4.04845400
HfZnO3 353013 Hf Zn 4.59744900 3.76483300
HfZrO3 352071 Hf Zr 4.72123600 4.10990100
HfZrO3 352949 Zr Hf 4.72123600 4.06117200
Hg2O3 354205 Hg Hg 4.77550900 4.15709900
HgAsO3 351912 Hg As 4.73018300 3.86224300
HgAsO3 352377 As Hg 4.73018300 4.14455000
HgAuO3 351824 Hg Au 4.66101600 4.06363700
HgAuO3 354801 Au Hg 4.66101600 4.15079300
HgBiO3 350007 Bi Hg 4.92799900 4.21826900
HgBiO3 350994 Hg Bi 4.92799900 4.23229900
HgBO3 352830 B Hg 4.51392000 4.11867100
HgBO3 354852 Hg B 4.51392000 3.51747500
HgGeO3 351565 Ge Hg 4.74682300 4.12932800
HgGeO3 353944 Hg Ge 4.74682300 3.78715100
HgIrO3 353699 Ir Hg 4.61744400 4.13960500
HgIrO3 353999 Hg Ir 4.61744400 3.94221800
HgMoO3 351652 Mo Hg 4.63989200 4.14621700
HgMoO3 353024 Hg Mo 4.63989200 3.96063100
HgOsO3 352897 Os Hg 4.61467200 4.15224100
HgOsO3 352961 Hg Os 4.61467200 3.92738100
HgPbO3 352303 Pb Hg 4.85771500 4.19466000
HgPbO3 354362 Hg Pb 4.85771500 4.26454300
HgPdO3 351891 Pd Hg 4.62607800 4.13440900
HgPdO3 354282 Hg Pd 4.62607800 3.96436300
HgPtO3 351099 Hg Pt 4.63219800 3.98936300
HgPtO3 352685 Pt Hg 4.63219800 4.14322400
HgRhO3 352051 Hg Rh 4.61151700 3.93807800
HgRhO3 353539 Rh Hg 4.61151700 4.13571400
HgRuO3 350589 Hg Ru 4.60835100 3.91676700
HgRuO3 352034 Ru Hg 4.60835100 4.13961800
HgSbO3 352399 Sb Hg 4.85643700 4.19563200
HgSbO3 353909 Hg Sb 4.85643700 4.04112300
HgTeO3 350894 Te Hg 4.90891500 4.20059800
HgTeO3 353797 Hg Te 4.90891500 4.12504000
HgWO3 350819 W Hg 4.64401900 4.14689600
HgWO3 354338 Hg W 4.64401900 3.96555400
Ho2O3 351811 Ho Ho 4.95911900 4.23306300
HoAgO3 351358 Ho Ag 4.76045700 4.01177100
HoAgO3 351844 Ag Ho 4.76045700 4.30845400
HoAlO3 352876 Al Ho 4.75381600 4.24033600
HoAlO3 353446 Ho Al 4.75381600 3.67556200
HoAsO3 350991 As Ho 4.82546700 4.26115700
HoAsO3 351541 Ho As 4.82546700 3.98519600
HoAuO3 350788 Au Ho 4.75906300 4.31568700
HoAuO3 351917 Ho Au 4.75906300 4.08810600
HoBeO3 351434 Be Ho 4.62475800 4.22170500
HoBeO3 353102 Ho Be 4.62475800 3.52711700
HoBiO3 350477 Ho Bi 5.01598700 4.36109800
HoBiO3 353816 Bi Ho 5.01598700 4.28662600
HoBO3 350278 Ho B 4.61824500 3.44301500
HoBO3 351838 B Ho 4.61824500 4.30034800
HoCdO3 351957 Ho Cd 4.82462300 4.08341800
HoCdO3 353912 Cd Ho 4.82462300 4.26733200
HoCoO3 351131 Co Ho 4.67036000 4.23543700
HoCoO3 352400 Ho Co 4.67036000 3.68610100
HoCrO3 351341 Cr Ho 4.68605000 4.28678500
HoCrO3 352662 Ho Cr 4.68605000 3.81486100
HoCuO3 350727 Ho Cu 4.68151000 3.72591100
HoCuO3 351237 Cu Ho 4.68151000 4.28952200
HoErO3 351469 Er Ho 4.95227800 4.22867700
HoErO3 355159 Ho Er 4.95227800 4.20831100
HoFeO3 352976 Fe Ho 4.68151400 4.49133400
HoFeO3 353898 Ho Fe 4.68151400 3.83330200
HoGaO3 350228 Ga Ho 4.79755700 4.34594800
HoGaO3 350695 Ho Ga 4.79755700 3.79432900
HoGeO3 350870 Ho Ge 4.84146000 3.85967300
HoGeO3 355271 Ge Ho 4.84146000 4.25521700
HoHfO3 354113 Ho Hf 4.83587800 4.06771900
HoHfO3 354624 Hf Ho 4.83587800 4.20964200
HoHgO3 351936 Ho Hg 4.86904500 4.18093300
HoHgO3 354316 Hg Ho 4.86904500 4.31148400
HoInO3 353601 In Ho 4.88962200 4.28215200
HoInO3 354905 Ho In 4.88962200 4.08905000
HoIrO3 352439 Ho Ir 4.71729100 3.94436200
HoIrO3 355055 Ir Ho 4.71729100 4.25881100
HoLuO3 352719 Ho Lu 4.93716400 4.14620100
HoLuO3 355219 Lu Ho 4.93716400 4.23101500
HoMgO3 352262 Ho Mg 4.84942700 3.79672700
HoMgO3 353292 Mg Ho 4.84942700 4.23570800
HoMnO3 351454 Mn Ho 4.68887000 4.23771500
HoMnO3 353044 Ho Mn 4.68887000 3.82516800
HoMoO3 350457 Mo Ho 4.73880600 4.24678600
HoMoO3 354979 Ho Mo 4.73880600 3.94855200
HoNbO3 353526 Ho Nb 4.77430400 4.02106200
HoNbO3 354669 Nb Ho 4.77430400 4.22243800
HoNiO3 354264 Ho Ni 4.66869300 3.70309700
HoNpO3 352466 Ho Np 4.79240100 4.40131500
HoNpO3 352866 Np Ho 4.79240100 4.26623600
HoOsO3 351489 Ho Os 4.71463600 3.93133900
HoOsO3 354165 Os Ho 4.71463600 4.25151300
HoPaO3 352015 Ho Pa 4.87394100 4.46115900
HoPaO3 353623 Pa Ho 4.87394100 4.25621700
HoPbO3 352260 Ho Pb 4.94819800 4.27392700
HoPbO3 353618 Pb Ho 4.94819800 4.31797000
HoPdO3 352540 Pd Ho 4.72556500 4.30805700
HoPdO3 355218 Ho Pd 4.72556500 3.94570300
HoPtO3 350573 Pt Ho 4.73143000 4.28939700
HoPtO3 351205 Ho Pt 4.73143000 4.00637200
HoPuO3 350058 Pu Ho 4.80942600 4.26710200
HoPuO3 354686 Ho Pu 4.80942600 4.36102000
HoReO3 350817 Re Ho 4.72568800 4.25006200
HoReO3 352249 Ho Re 4.72568800 3.94106400
HoRhO3 350878 Rh Ho 4.71161300 4.27063400
HoRhO3 354695 Ho Rh 4.71161300 3.90779500
HoRuO3 354038 Ho Ru 4.70858000 3.90742500
HoRuO3 354097 Ru Ho 4.70858000 4.25230100
HoSbO3 352688 Sb Ho 4.94696700 4.27719900
HoSbO3 354548 Ho Sb 4.94696700 4.20055100
HoScO3 351958 Ho Sc 4.87414700 3.97967800
HoScO3 355095 Sc Ho 4.87414700 4.22565500
HoSiO3 353640 Si Ho 4.80361900 4.24897400
HoSiO3 355144 Ho Si 4.80361900 3.67231700
HoSnO3 351367 Sn Ho 4.90309400 4.30106900
HoSnO3 352145 Ho Sn 4.90309400 4.09509800
HoTaO3 351000 Ho Ta 4.77489200 4.00064900
