composition OQMD_Id A_atom B_atom OQMD_unrelaxed_lattice_parameter OQMD_relaxed_lattice_parameter
AcTiO3 353765 Ac Ti 4.85761100 3.99311000
AcTlO3 350652 Tl Ac 5.00999200 4.57797900
AcTlO3 352283 Ac Tl 5.00999200 4.31008300
AcTmO3 352233 Tm Ac 5.02924100 4.65162900
AcTmO3 353831 Ac Tm 5.02924100 4.26922800
AcUO3 350111 U Ac 4.90446800 4.65423700
AcUO3 353980 Ac U 4.90446800 4.46553100
AcVO3 350395 V Ac 4.80532000 4.64741400
AcVO3 354599 Ac V 4.80532000 3.98071200
AcWO3 353464 W Ac 4.83420700 4.59154400
AcWO3 354834 Ac W 4.83420700 4.05342000
AcYbO3 350318 Ac Yb 5.17219900 4.20663700
AcYbO3 351370 Yb Ac 5.17219900 4.58819300
AcYO3 351800 Ac Y 5.06766600 4.33417400
AcYO3 352031 Y Ac 5.06766600 4.66192600
AcZnO3 354525 Ac Zn 4.82506000 3.96586400
AcZnO3 354940 Zn Ac 4.82506000 4.54128600
AcZrO3 355058 Ac Zr 4.93784100 4.19938900
AcZrO3 355111 Zr Ac 4.93784100 4.62631100
Ag2O3 692331 Ag Ag 4.54366700 4.02045200
AgAsO3 352127 Ag As 4.61488500 3.76856000
AgAsO3 354621 As Ag 4.61488500 3.99316300
AgAuO3 353395 Ag Au 4.54213600 4.04554100
AgAuO3 355248 Au Ag 4.54213600 4.01800500
AgBiO3 351680 Ag Bi 4.82208000 4.17189000
AgBiO3 353875 Bi Ag 4.82208000 4.06921800
AgBO3 350744 Ag B 4.38682600 3.43947200
AgBO3 352341 B Ag 4.38682600 3.95885900
AgGeO3 351107 Ge Ag 4.63236300 3.99661300
AgGeO3 354783 Ag Ge 4.63236300 3.76322500
AgHgO3 351607 Ag Hg 4.66247000 4.15635000
AgHgO3 354608 Hg Ag 4.66247000 4.03352800
AgIrO3 351195 Ir Ag 4.49621800 3.99034100
AgIrO3 352156 Ag Ir 4.49621800 3.89849600
AgMoO3 350041 Mo Ag 4.51988300 3.99393400
AgMoO3 350337 Ag Mo 4.51988300 3.91081800
AgOsO3 353755 Os Ag 4.49329500 4.00494300
AgOsO3 354343 Ag Os 4.49329500 3.87758600
AgPbO3 353272 Ag Pb 4.74860200 4.23284500
AgPbO3 353672 Pb Ag 4.74860200 4.07195000
AgPdO3 350066 Pd Ag 4.50532300 3.99010200
AgPdO3 352220 Ag Pd 4.50532300 3.94111100
AgPtO3 350583 Ag Pt 4.51177400 3.96497700
AgPtO3 355001 Pt Ag 4.51177400 4.00367300
AgRhO3 350554 Ag Rh 4.48996600 3.90495000
AgRhO3 353578 Rh Ag 4.48996600 3.99269400
AgRuO3 350072 Ag Ru 4.48662600 3.86750000
AgRuO3 351722 Ru Ag 4.48662600 3.99549000
AgSbO3 350004 Sb Ag 4.74726500 4.04518400
AgSbO3 353975 Ag Sb 4.74726500 3.95270000
AgSnO3 352668 Ag Sn 4.69956700 4.04833400
AgSnO3 354485 Sn Ag 4.69956700 4.04464900
AgTeO3 354202 Ag Te 4.80214400 4.04623800
AgTeO3 354606 Te Ag 4.80214400 4.05787000
AgWO3 351312 W Ag 4.52423200 3.99341300
AgWO3 352802 Ag W 4.52423200 3.91704700
Al2O3 353709 Al Al 4.52906000 3.59059500
AlAgO3 354309 Ag Al 4.53637500 3.71042400
AlAgO3 354491 Al Ag 4.53637500 3.96507000
AlAsO3 350301 As Al 4.60781800 3.65258300
AlAsO3 351015 Al As 4.60781800 3.81391700
AlAuO3 350708 Al Au 4.53484000 4.02502800
AlAuO3 353381 Au Al 4.53484000 3.71619600
AlBiO3 350716 Al Bi 4.81560800 4.22181500
AlBiO3 353428 Bi Al 4.81560800 3.76383000
AlBO3 351902 B Al 4.37900200 3.61016400
AlBO3 353507 Al B 4.37900200 3.28327100
AlCdO3 353122 Al Cd 4.60689200 4.05287800
AlCdO3 353414 Cd Al 4.60689200 3.71458300
AlCoO3 352198 Al Co 4.43685600 3.60549000
AlCoO3 354780 Co Al 4.43685600 3.63259700
AlCrO3 351212 Al Cr 4.45423100 3.74491100
AlCrO3 355152 Cr Al 4.45423100 3.63758100
AlCuO3 351685 Al Cu 4.44920600 3.64077400
AlCuO3 354713 Cu Al 4.44920600 3.64019800
AlFeO3 350355 Al Fe 4.44921000 3.74400400
AlFeO3 352799 Fe Al 4.44921000 3.61544700
AlGaO3 351348 Al Ga 4.57718200 3.74027600
AlGaO3 351357 Ga Al 4.57718200 3.63843300
AlGeO3 354177 Al Ge 4.62534900 3.71008800
AlGeO3 354872 Ge Al 4.62534900 3.69526700
AlHgO3 350518 Al Hg 4.65554600 4.12705800
AlHgO3 352823 Hg Al 4.65554600 3.75521200
AlInO3 350625 In Al 4.67804000 3.68483600
AlInO3 354977 Al In 4.67804000 4.05910300
AlIrO3 351772 Ir Al 4.48877100 3.63455300
AlIrO3 352742 Al Ir 4.48877100 3.90144500
AlMoO3 353743 Mo Al 4.51251500 3.64586500
AlMoO3 354111 Al Mo 4.51251500 3.93496000
AlNiO3 350096 Al Ni 4.43500800 3.61267000
AlNiO3 351115 Ni Al 4.43500800 3.60808500
AlOsO3 353987 Os Al 4.48583800 3.66469200
AlOsO3 354576 Al Os 4.48583800 3.89575800
AlPbO3 353438 Al Pb 4.74192800 4.19329200
AlPbO3 354021 Pb Al 4.74192800 3.78402800
AlPdO3 350813 Al Pd 4.49790600 3.89735300
AlPdO3 351110 Pd Al 4.49790600 3.66205600
AlPtO3 350209 Pt Al 4.50437900 3.67118500
AlPtO3 353219 Al Pt 4.50437900 3.94495900
AlReO3 351059 Re Al 4.49804300 3.66139400
AlReO3 354266 Al Re 4.49804300 3.91174100
AlRhO3 350174 Al Rh 4.48249900 3.87245500
AlRhO3 354515 Rh Al 4.48249900 3.65343600
AlRuO3 351113 Ru Al 4.47914800 3.67331400
AlRuO3 353606 Al Ru 4.47914800 3.87044100
AlSbO3 351306 Al Sb 4.74058700 4.01900400
AlSbO3 354552 Sb Al 4.74058700 3.72361700
AlSiO3 350379 Si Al 4.58384000 3.63844200
AlSiO3 353071 Al Si 4.58384000 3.52955200
AlSnO3 352154 Al Sn 4.69275200 4.00611100
AlSnO3 355205 Sn Al 4.69275200 3.71541300
AlTcO3 350018 Tc Al 4.48881200 3.66190900
AlTcO3 352860 Al Tc 4.48881200 3.89043500
AlTeO3 351151 Te Al 4.79561800 3.74535700
AlTeO3 353961 Al Te 4.79561800 4.10669900
AlTlO3 352618 Al Tl 4.71667200 4.17195100
AlTlO3 354770 Tl Al 4.71667200 3.74805600
AlVO3 353374 V Al 4.48374400 3.61245400
AlVO3 354032 Al V 4.48374400 3.77648400
AlWO3 350446 W Al 4.51687700 3.64579200
AlWO3 350792 Al W 4.51687700 3.94106300
AlZnO3 351039 Al Zn 4.50639600 3.73230200
AlZnO3 352736 Zn Al 4.50639600 3.64209500
As2O3 353027 As As 4.68397100 3.85440200
AsAuO3 350307 Au As 4.61340100 3.80318100
AsAuO3 350336 As Au 4.61340100 4.04089200
AsIrO3 351297 Ir As 4.56891100 3.82458400
AsIrO3 355004 As Ir 4.56891100 3.90718200
AsOsO3 350627 As Os 4.56608100 3.90136200
AsOsO3 353202 Os As 4.56608100 3.87110300
AsPbO3 353285 Pb As 4.81393100 3.96674400
AsPbO3 355122 As Pb 4.81393100 4.20561300
AsPdO3 352682 Pd As 4.57773000 3.76690500
AsPdO3 352919 As Pd 4.57773000 3.92443900
AsPtO3 353573 As Pt 4.58397900 3.95642400
AsPtO3 354909 Pt As 4.58397900 3.80704300
AsRhO3 350544 Rh As 4.56285800 3.79202100
AsRhO3 354592 As Rh 4.56285800 3.88713300
AsRuO3 349997 Ru As 4.55962300 3.83313000
AsRuO3 351140 As Ru 4.55962300 3.88459000
AsWO3 351146 W As 4.59604900 3.90315900
AsWO3 353522 As W 4.59604900 3.93527600
Au2O3 354416 Au Au 4.54060400 4.05045100
B2O3 350191 B B 4.21788800 3.23013700
Ba2O3 351720 Ba Ba 5.71396400 4.65774200
BaAcO3 350983 Ac Ba 5.43503500 4.68979000
BaAcO3 354147 Ba Ac 5.43503500 4.67146700
BaAgO3 352396 Ag Ba 5.19472500 4.51590000
BaAgO3 353814 Ba Ag 5.19472500 4.15993400
BaAlO3 353270 Al Ba 5.18914900 4.56108200
BaAlO3 353425 Ba Al 5.18914900 3.92103600
BaAsO3 354096 As Ba 5.24948900 4.59318300
BaAsO3 354345 Ba As 5.24948900 4.04124500
BaAuO3 350741 Ba Au 5.19355400 4.17535700
BaAuO3 351490 Au Ba 5.19355400 4.53412800
BaBeO3 351529 Ba Be 5.08153400 3.82934100
BaBeO3 353762 Be Ba 5.08153400 4.53110400
BaBiO3 350940 Ba Bi 5.41184100 4.38128300
BaBiO3 353161 Bi Ba 5.41184100 4.64724300
BaBO3 350118 Ba B 5.07614200 3.72954200
BaBO3 354866 B Ba 5.07614200 4.52829500
BaCaO3 354422 Ca Ba 5.49950100 4.59003100
BaCaO3 354524 Ba Ca 5.49950100 4.38208600
BaCdO3 350891 Ba Cd 5.24877600 4.24164400
BaCdO3 351322 Cd Ba 5.24877600 4.57375000
BaCeO3 352801 Ba Ce 5.40024100 4.58086100
BaCeO3 353866 Ce Ba 5.40024100 4.67014400
BaCoO3 352636 Co Ba 5.11939800 4.50802700
BaCoO3 353902 Ba Co 5.11939800 3.94574000
BaCrO3 350766 Cr Ba 5.13246700 4.53128200
BaCrO3 352054 Ba Cr 5.13246700 3.95959500
BaCuO3 353853 Cu Ba 5.12868300 4.48331500
BaCuO3 354953 Ba Cu 5.12868300 3.96938300
BaDyO3 353320 Dy Ba 5.36796800 4.63910900
BaDyO3 353523 Ba Dy 5.36796800 4.38521100
BaErO3 353274 Er Ba 5.35725400 4.63412500
BaErO3 354310 Ba Er 5.35725400 4.35685200
BaEuO3 353463 Ba Eu 5.55312100 4.34083100
BaEuO3 354492 Eu Ba 5.55312100 4.57468500
BaFeO3 352072 Ba Fe 5.12868600 3.97342800
BaGaO3 350030 Ba Ga 5.22593600 4.02340800
BaGaO3 354299 Ga Ba 5.22593600 4.57134000
BaGdO3 350471 Ba Gd 5.38542100 4.42077700
BaGdO3 352423 Gd Ba 5.38542100 4.64374600
BaGeO3 351170 Ge Ba 5.26301300 4.58374700
BaGeO3 351192 Ba Ge 5.26301300 3.94926900
BaHfO3 350195 Hf Ba 5.25829000 4.60562600
BaHfO3 350930 Ba Hf 5.25829000 4.17449800
BaHgO3 350465 Ba Hg 5.28638500 4.26622600
BaHgO3 351492 Hg Ba 5.28638500 4.56462600
BaHoO3 354647 Ho Ba 5.36310200 4.63770300
BaHoO3 354848 Ba Ho 5.36310200 4.37059100
BaInO3 349981 Ba In 5.30385700 4.24026600
BaInO3 350606 In Ba 5.30385700 4.58401000
BaIrO3 353341 Ba Ir 5.15855000 4.04803100
BaIrO3 354509 Ir Ba 5.15855000 4.56035400
BaLaO3 350920 La Ba 5.43620300 4.65783700
BaLaO3 352595 Ba La 5.43620300 4.54432000
BaLiO3 352150 Li Ba 5.25003000 4.52210900
BaLiO3 354577 Ba Li 5.25003000 3.96540300
BaLuO3 350351 Lu Ba 5.34434700 4.62972800
BaLuO3 351253 Ba Lu 5.34434700 4.30928300
BaMgO3 351577 Ba Mg 5.26975700 4.06993100
BaMgO3 352760 Mg Ba 5.26975700 4.56714000
BaMnO3 350513 Ba Mn 5.13481700 3.98201800
BaMnO3 353373 Mn Ba 5.13481700 4.56491000
BaMoO3 352904 Ba Mo 5.17656100 4.05633100
BaMoO3 353778 Mo Ba 5.17656100 4.57107900
BaNaO3 350954 Ba Na 5.45619800 4.22832700
BaNaO3 353546 Na Ba 5.45619800 4.56773800
BaNbO3 692332 Ba Nb 5.20636000 4.12463200
BaNbO3 692335 Nb Ba 5.20636000 4.57104000
BaNdO3 352808 Ba Nd 5.39813000 4.52438600
BaNdO3 354885 Nd Ba 5.39813000 4.65934300
BaNiO3 352792 Ni Ba 5.11801000 4.38426600
BaNiO3 354558 Ba Ni 5.11801000 3.98316000
BaNpO3 351471 Np Ba 5.22159200 4.65011000
BaNpO3 354133 Ba Np 5.22159200 4.45894600
BaOsO3 352905 Ba Os 5.15633000 4.03405500
BaOsO3 355158 Os Ba 5.15633000 4.57706500
BaPaO3 350623 Pa Ba 5.29054000 4.63323500
BaPaO3 355168 Ba Pa 5.29054000 4.54045200
BaPbO3 692333 Ba Pb 5.35376900 4.32009700
BaPbO3 692336 Pb Ba 5.35376900 4.61808300
BaPdO3 350812 Ba Pd 5.16547200 4.08472900
BaPdO3 353641 Pd Ba 5.16547200 4.54228500
BaPmO3 353158 Ba Pm 5.38646600 4.49633400
BaPmO3 353591 Pm Ba 5.38646600 4.65477000
BaPrO3 692334 Ba Pr 5.40228500 4.55078700
BaPtO3 351684 Pt Ba 5.17038300 4.53926800
BaPtO3 354412 Ba Pt 5.17038300 4.10141000
BaPuO3 351315 Pu Ba 5.23594500 4.61692600
BaPuO3 352211 Ba Pu 5.23594500 4.43681700
BaReO3 352776 Ba Re 5.16557600 4.03788000
BaReO3 353524 Re Ba 5.16557600 4.57153000
BaRhO3 351180 Rh Ba 5.15380400 4.54866200
BaRhO3 351918 Ba Rh 5.15380400 4.05100100
BaRuO3 351592 Ru Ba 5.15126900 4.57638800
BaRuO3 352773 Ba Ru 5.15126900 4.03610200
BaSbO3 351546 Sb Ba 5.35271700 4.63250300
BaSbO3 353455 Ba Sb 5.35271700 4.24443500
BaScO3 350569 Ba Sc 5.29071400 4.17934000
BaScO3 352977 Sc Ba 5.29071400 4.60074500
BaSiO3 350074 Ba Si 5.23104700 3.81263500
BaSiO3 351514 Si Ba 5.23104700 4.57655200
BaSmO3 350108 Sm Ba 5.38689000 4.65246100
BaSmO3 354376 Ba Sm 5.38689000 4.47586900
BaSnO3 352325 Sn Ba 5.31531400 4.60883200
BaSnO3 352504 Ba Sn 5.31531400 4.15421400
BAsO3 351430 B As 4.46309800 3.65814700
BAsO3 353123 As B 4.46309800 3.37749100
BaSrO3 351883 Sr Ba 5.62757600 4.62025700
BaSrO3 352723 Ba Sr 5.62757600 4.53017100
BaTaO3 350886 Ba Ta 5.20685500 4.10393400
BaTaO3 352432 Ta Ba 5.20685500 4.58192400
BaTbO3 350334 Tb Ba 5.37385600 4.64332200
BaTbO3 350842 Ba Tb 5.37385600 4.40066800
BaTcO3 350266 Ba Tc 5.15858100 4.02941200
BaTcO3 355301 Tc Ba 5.15858100 4.57696000
BaTeO3 351560 Ba Te 5.39603200 4.30537300
BaTeO3 353226 Te Ba 5.39603200 4.65421900
BaThO3 350534 Ba Th 5.38314500 4.61125200
BaThO3 354797 Th Ba 5.38314500 4.66443300
BaTiO3 352611 Ba Ti 5.20028000 4.00617100
BaTlO3 353804 Ba Tl 5.33398800 4.31030000
BaTlO3 353973 Tl Ba 5.33398800 4.60379800
BaTmO3 351739 Ba Tm 5.35098100 4.33636200
BaTmO3 353330 Tm Ba 5.35098100 4.62894200
BaUO3 350116 U Ba 5.24123800 4.66248600
BaUO3 352565 Ba U 5.24123800 4.48326100
BAuO3 354478 B Au 4.38518400 3.98290600
BAuO3 354573 Au B 4.38518400 3.46502900
BaVO3 353906 Ba V 5.15474500 3.96579800
BaWO3 351199 W Ba 5.17987700 4.57164900
BaWO3 354609 Ba W 5.17987700 4.05871200
BaYbO3 352575 Yb Ba 5.47785500 4.56149100
BaYbO3 355126 Ba Yb 5.47785500 4.29312800
BaYO3 353165 Y Ba 5.38496700 4.64681600
BaYO3 354518 Ba Y 5.38496700 4.40366200
BaZnO3 352458 Ba Zn 5.17191300 4.03890600
BaZnO3 353198 Zn Ba 5.17191300 4.54672600
BaZrO3 351177 Ba Zr 5.27049500 4.22486800
BaZrO3 351765 Zr Ba 5.27049500 4.60969700
Be2O3 352803 Be Be 4.23346700 3.34274600
BeAgO3 352596 Ag Be 4.39404100 3.52779600
